county,state,fips
Autauga,Alabama,1001
Baldwin,Alabama,1003
Barbour,Alabama,1005
Bibb,Alabama,1007
Blount,Alabama,1009
Bullock,Alabama,1011
Butler,Alabama,1013
Calhoun,Alabama,1015
Chambers,Alabama,1017
Cherokee,Alabama,1019
Chilton,Alabama,1021
Choctaw,Alabama,1023
Clarke,Alabama,1025
Clay,Alabama,1027
Cleburne,Alabama,1029
Coffee,Alabama,1031
Colbert,Alabama,1033
Conecuh,Alabama,1035
Coosa,Alabama,1037
Covington,Alabama,1039
Crenshaw,Alabama,1041
Cullman,Alabama,1043
Dale,Alabama,1045
Dallas,Alabama,1047
DeKalb,Alabama,1049
Elmore,Alabama,1051
Escambia,Alabama,1053
Etowah,Alabama,1055
Fayette,Alabama,1057
Franklin,Alabama,1059
Geneva,Alabama,1061
Greene,Alabama,1063
Hale,Alabama,1065
Henry,Alabama,1067
Houston,Alabama,1069
Jackson,Alabama,1071
Jefferson,Alabama,1073
Lamar,Alabama,1075
Lauderdale,Alabama,1077
Lawrence,Alabama,1079
Lee,Alabama,1081
Limestone,Alabama,1083
Lowndes,Alabama,1085
Macon,Alabama,1087
Madison,Alabama,1089
Marengo,Alabama,1091
Marion,Alabama,1093
Marshall,Alabama,1095
Mobile,Alabama,1097
Monroe,Alabama,1099
Montgomery,Alabama,1101
Morgan,Alabama,1103
Perry,Alabama,1105
Pickens,Alabama,1107
Pike,Alabama,1109
Randolph,Alabama,1111
Russell,Alabama,1113
Shelby,Alabama,1117
St. Clair,Alabama,1115
Sumter,Alabama,1119
Talladega,Alabama,1121
Tallapoosa,Alabama,1123
Tuscaloosa,Alabama,1125
Walker,Alabama,1127
Washington,Alabama,1129
Wilcox,Alabama,1131
Winston,Alabama,1133
Aleutians East Borough,Alaska,2013
Aleutians West Census Area,Alaska,2016
Anchorage,Alaska,2020
Bethel Census Area,Alaska,2050
Bristol Bay plus Lake and Peninsula,Alaska,2997
Denali Borough,Alaska,2068
Dillingham Census Area,Alaska,2070
Fairbanks North Star Borough,Alaska,2090
Haines Borough,Alaska,2100
Juneau City and Borough,Alaska,2110
Kenai Peninsula Borough,Alaska,2122
Ketchikan Gateway Borough,Alaska,2130
Kodiak Island Borough,Alaska,2150
Kusilvak Census Area,Alaska,2158
Matanuska-Susitna Borough,Alaska,2170
Nome Census Area,Alaska,2180
North Slope Borough,Alaska,2185
Northwest Arctic Borough,Alaska,2188
Petersburg Borough,Alaska,2195
Prince of Wales-Hyder Census Area,Alaska,2198
Sitka City and Borough,Alaska,2220
Skagway Municipality,Alaska,2230
Southeast Fairbanks Census Area,Alaska,2240
Valdez-Cordova Census Area,Alaska,2261
Wrangell City and Borough,Alaska,2275
Yakutat plus Hoonah-Angoon,Alaska,2998
Yukon-Koyukuk Census Area,Alaska,2290
Apache,Arizona,4001
Cochise,Arizona,4003
Coconino,Arizona,4005
Gila,Arizona,4007
Graham,Arizona,4009
Greenlee,Arizona,4011
La Paz,Arizona,4012
Maricopa,Arizona,4013
Mohave,Arizona,4015
Navajo,Arizona,4017
Pima,Arizona,4019
Pinal,Arizona,4021
Santa Cruz,Arizona,4023
Yavapai,Arizona,4025
Yuma,Arizona,4027
Arkansas,Arkansas,5001
Ashley,Arkansas,5003
Baxter,Arkansas,5005
Benton,Arkansas,5007
Boone,Arkansas,5009
Bradley,Arkansas,5011
Calhoun,Arkansas,5013
Carroll,Arkansas,5015
Chicot,Arkansas,5017
Clark,Arkansas,5019
Clay,Arkansas,5021
Cleburne,Arkansas,5023
Cleveland,Arkansas,5025
Columbia,Arkansas,5027
Conway,Arkansas,5029
Craighead,Arkansas,5031
Crawford,Arkansas,5033
Crittenden,Arkansas,5035
Cross,Arkansas,5037
Dallas,Arkansas,5039
Desha,Arkansas,5041
Drew,Arkansas,5043
Faulkner,Arkansas,5045
Franklin,Arkansas,5047
Fulton,Arkansas,5049
Garland,Arkansas,5051
Grant,Arkansas,5053
Greene,Arkansas,5055
Hempstead,Arkansas,5057
Hot Spring,Arkansas,5059
Howard,Arkansas,5061
Independence,Arkansas,5063
Izard,Arkansas,5065
Jackson,Arkansas,5067
Jefferson,Arkansas,5069
Johnson,Arkansas,5071
Lafayette,Arkansas,5073
Lawrence,Arkansas,5075
Lee,Arkansas,5077
Lincoln,Arkansas,5079
Little River,Arkansas,5081
Logan,Arkansas,5083
Lonoke,Arkansas,5085
Madison,Arkansas,5087
Marion,Arkansas,5089
Miller,Arkansas,5091
Mississippi,Arkansas,5093
Monroe,Arkansas,5095
Montgomery,Arkansas,5097
Nevada,Arkansas,5099
Newton,Arkansas,5101
Ouachita,Arkansas,5103
Perry,Arkansas,5105
Phillips,Arkansas,5107
Pike,Arkansas,5109
Poinsett,Arkansas,5111
Polk,Arkansas,5113
Pope,Arkansas,5115
Prairie,Arkansas,5117
Pulaski,Arkansas,5119
Randolph,Arkansas,5121
Saline,Arkansas,5125
Scott,Arkansas,5127
Searcy,Arkansas,5129
Sebastian,Arkansas,5131
Sevier,Arkansas,5133
Sharp,Arkansas,5135
St. Francis,Arkansas,5123
Stone,Arkansas,5137
Union,Arkansas,5139
Van Buren,Arkansas,5141
Washington,Arkansas,5143
White,Arkansas,5145
Woodruff,Arkansas,5147
Yell,Arkansas,5149
Alameda,California,6001
Alpine,California,6003
Amador,California,6005
Butte,California,6007
Calaveras,California,6009
Colusa,California,6011
Contra Costa,California,6013
Del Norte,California,6015
El Dorado,California,6017
Fresno,California,6019
Glenn,California,6021
Humboldt,California,6023
Imperial,California,6025
Inyo,California,6027
Kern,California,6029
Kings,California,6031
Lake,California,6033
Lassen,California,6035
Los Angeles,California,6037
Madera,California,6039
Marin,California,6041
Mariposa,California,6043
Mendocino,California,6045
Merced,California,6047
Modoc,California,6049
Mono,California,6051
Monterey,California,6053
Napa,California,6055
Nevada,California,6057
Orange,California,6059
Placer,California,6061
Plumas,California,6063
Riverside,California,6065
Sacramento,California,6067
San Benito,California,6069
San Bernardino,California,6071
San Diego,California,6073
San Francisco,California,6075
San Joaquin,California,6077
San Luis Obispo,California,6079
San Mateo,California,6081
Santa Barbara,California,6083
Santa Clara,California,6085
Santa Cruz,California,6087
Shasta,California,6089
Sierra,California,6091
Siskiyou,California,6093
Solano,California,6095
Sonoma,California,6097
Stanislaus,California,6099
Sutter,California,6101
Tehama,California,6103
Trinity,California,6105
Tulare,California,6107
Tuolumne,California,6109
Ventura,California,6111
Yolo,California,6113
Yuba,California,6115
Adams,Colorado,8001
Alamosa,Colorado,8003
Arapahoe,Colorado,8005
Archuleta,Colorado,8007
Baca,Colorado,8009
Bent,Colorado,8011
Boulder,Colorado,8013
Broomfield,Colorado,8014
Chaffee,Colorado,8015
Cheyenne,Colorado,8017
Clear Creek,Colorado,8019
Conejos,Colorado,8021
Costilla,Colorado,8023
Crowley,Colorado,8025
Custer,Colorado,8027
Delta,Colorado,8029
Denver,Colorado,8031
Dolores,Colorado,8033
Douglas,Colorado,8035
Eagle,Colorado,8037
El Paso,Colorado,8041
Elbert,Colorado,8039
Fremont,Colorado,8043
Garfield,Colorado,8045
Gilpin,Colorado,8047
Grand,Colorado,8049
Gunnison,Colorado,8051
Hinsdale,Colorado,8053
Huerfano,Colorado,8055
Jackson,Colorado,8057
Jefferson,Colorado,8059
Kiowa,Colorado,8061
Kit Carson,Colorado,8063
La Plata,Colorado,8067
Lake,Colorado,8065
Larimer,Colorado,8069
Las Animas,Colorado,8071
Lincoln,Colorado,8073
Logan,Colorado,8075
Mesa,Colorado,8077
Mineral,Colorado,8079
Moffat,Colorado,8081
Montezuma,Colorado,8083
Montrose,Colorado,8085
Morgan,Colorado,8087
Otero,Colorado,8089
Ouray,Colorado,8091
Park,Colorado,8093
Phillips,Colorado,8095
Pitkin,Colorado,8097
Prowers,Colorado,8099
Pueblo,Colorado,8101
Rio Blanco,Colorado,8103
Rio Grande,Colorado,8105
Routt,Colorado,8107
Saguache,Colorado,8109
San Juan,Colorado,8111
San Miguel,Colorado,8113
Sedgwick,Colorado,8115
Summit,Colorado,8117
Teller,Colorado,8119
Washington,Colorado,8121
Weld,Colorado,8123
Yuma,Colorado,8125
Fairfield,Connecticut,9001
Hartford,Connecticut,9003
Litchfield,Connecticut,9005
Middlesex,Connecticut,9007
New Haven,Connecticut,9009
New London,Connecticut,9011
Tolland,Connecticut,9013
Windham,Connecticut,9015
Kent,Delaware,10001
New Castle,Delaware,10003
Sussex,Delaware,10005
District of Columbia,District of Columbia,11001
Alachua,Florida,12001
Baker,Florida,12003
Bay,Florida,12005
Bradford,Florida,12007
Brevard,Florida,12009
Broward,Florida,12011
Calhoun,Florida,12013
Charlotte,Florida,12015
Citrus,Florida,12017
Clay,Florida,12019
Collier,Florida,12021
Columbia,Florida,12023
DeSoto,Florida,12027
Dixie,Florida,12029
Duval,Florida,12031
Escambia,Florida,12033
Flagler,Florida,12035
Franklin,Florida,12037
Gadsden,Florida,12039
Gilchrist,Florida,12041
Glades,Florida,12043
Gulf,Florida,12045
Hamilton,Florida,12047
Hardee,Florida,12049
Hendry,Florida,12051
Hernando,Florida,12053
Highlands,Florida,12055
Hillsborough,Florida,12057
Holmes,Florida,12059
Indian River,Florida,12061
Jackson,Florida,12063
Jefferson,Florida,12065
Lafayette,Florida,12067
Lake,Florida,12069
Lee,Florida,12071
Leon,Florida,12073
Levy,Florida,12075
Liberty,Florida,12077
Madison,Florida,12079
Manatee,Florida,12081
Marion,Florida,12083
Martin,Florida,12085
Miami-Dade,Florida,12086
Monroe,Florida,12087
Nassau,Florida,12089
Okaloosa,Florida,12091
Okeechobee,Florida,12093
Orange,Florida,12095
Osceola,Florida,12097
Palm Beach,Florida,12099
Pasco,Florida,12101
Pinellas,Florida,12103
Polk,Florida,12105
Putnam,Florida,12107
Santa Rosa,Florida,12113
Sarasota,Florida,12115
Seminole,Florida,12117
St. Johns,Florida,12109
St. Lucie,Florida,12111
Sumter,Florida,12119
Suwannee,Florida,12121
Taylor,Florida,12123
Union,Florida,12125
Volusia,Florida,12127
Wakulla,Florida,12129
Walton,Florida,12131
Washington,Florida,12133
Appling,Georgia,13001
Atkinson,Georgia,13003
Bacon,Georgia,13005
Baker,Georgia,13007
Baldwin,Georgia,13009
Banks,Georgia,13011
Barrow,Georgia,13013
Bartow,Georgia,13015
Ben Hill,Georgia,13017
Berrien,Georgia,13019
Bibb,Georgia,13021
Bleckley,Georgia,13023
Brantley,Georgia,13025
Brooks,Georgia,13027
Bryan,Georgia,13029
Bulloch,Georgia,13031
Burke,Georgia,13033
Butts,Georgia,13035
Calhoun,Georgia,13037
Camden,Georgia,13039
Candler,Georgia,13043
Carroll,Georgia,13045
Catoosa,Georgia,13047
Charlton,Georgia,13049
Chatham,Georgia,13051
Chattahoochee,Georgia,13053
Chattooga,Georgia,13055
Cherokee,Georgia,13057
Clarke,Georgia,13059
Clay,Georgia,13061
Clayton,Georgia,13063
Clinch,Georgia,13065
Cobb,Georgia,13067
Coffee,Georgia,13069
Colquitt,Georgia,13071
Columbia,Georgia,13073
Cook,Georgia,13075
Coweta,Georgia,13077
Crawford,Georgia,13079
Crisp,Georgia,13081
Dade,Georgia,13083
Dawson,Georgia,13085
DeKalb,Georgia,13089
Decatur,Georgia,13087
Dodge,Georgia,13091
Dooly,Georgia,13093
Dougherty,Georgia,13095
Douglas,Georgia,13097
Early,Georgia,13099
Echols,Georgia,13101
Effingham,Georgia,13103
Elbert,Georgia,13105
Emanuel,Georgia,13107
Evans,Georgia,13109
Fannin,Georgia,13111
Fayette,Georgia,13113
Floyd,Georgia,13115
Forsyth,Georgia,13117
Franklin,Georgia,13119
Fulton,Georgia,13121
Gilmer,Georgia,13123
Glascock,Georgia,13125
Glynn,Georgia,13127
Gordon,Georgia,13129
Grady,Georgia,13131
Greene,Georgia,13133
Gwinnett,Georgia,13135
Habersham,Georgia,13137
Hall,Georgia,13139
Hancock,Georgia,13141
Haralson,Georgia,13143
Harris,Georgia,13145
Hart,Georgia,13147
Heard,Georgia,13149
Henry,Georgia,13151
Houston,Georgia,13153
Irwin,Georgia,13155
Jackson,Georgia,13157
Jasper,Georgia,13159
Jeff Davis,Georgia,13161
Jefferson,Georgia,13163
Jenkins,Georgia,13165
Johnson,Georgia,13167
Jones,Georgia,13169
Lamar,Georgia,13171
Lanier,Georgia,13173
Laurens,Georgia,13175
Lee,Georgia,13177
Liberty,Georgia,13179
Lincoln,Georgia,13181
Long,Georgia,13183
Lowndes,Georgia,13185
Lumpkin,Georgia,13187
Macon,Georgia,13193
Madison,Georgia,13195
Marion,Georgia,13197
McDuffie,Georgia,13189
McIntosh,Georgia,13191
Meriwether,Georgia,13199
Miller,Georgia,13201
Mitchell,Georgia,13205
Monroe,Georgia,13207
Montgomery,Georgia,13209
Morgan,Georgia,13211
Murray,Georgia,13213
Muscogee,Georgia,13215
Newton,Georgia,13217
Oconee,Georgia,13219
Oglethorpe,Georgia,13221
Paulding,Georgia,13223
Peach,Georgia,13225
Pickens,Georgia,13227
Pierce,Georgia,13229
Pike,Georgia,13231
Polk,Georgia,13233
Pulaski,Georgia,13235
Putnam,Georgia,13237
Quitman,Georgia,13239
Rabun,Georgia,13241
Randolph,Georgia,13243
Richmond,Georgia,13245
Rockdale,Georgia,13247
Schley,Georgia,13249
Screven,Georgia,13251
Seminole,Georgia,13253
Spalding,Georgia,13255
Stephens,Georgia,13257
Stewart,Georgia,13259
Sumter,Georgia,13261
Talbot,Georgia,13263
Taliaferro,Georgia,13265
Tattnall,Georgia,13267
Taylor,Georgia,13269
Telfair,Georgia,13271
Terrell,Georgia,13273
Thomas,Georgia,13275
Tift,Georgia,13277
Toombs,Georgia,13279
Towns,Georgia,13281
Treutlen,Georgia,13283
Troup,Georgia,13285
Turner,Georgia,13287
Twiggs,Georgia,13289
Union,Georgia,13291
Upson,Georgia,13293
Walker,Georgia,13295
Walton,Georgia,13297
Ware,Georgia,13299
Warren,Georgia,13301
Washington,Georgia,13303
Wayne,Georgia,13305
Webster,Georgia,13307
Wheeler,Georgia,13309
White,Georgia,13311
Whitfield,Georgia,13313
Wilcox,Georgia,13315
Wilkes,Georgia,13317
Wilkinson,Georgia,13319
Worth,Georgia,13321
Hawaii,Hawaii,15001
Honolulu,Hawaii,15003
Kalawao,Hawaii,15005
Kauai,Hawaii,15007
Maui,Hawaii,15009
Ada,Idaho,16001
Adams,Idaho,16003
Bannock,Idaho,16005
Bear Lake,Idaho,16007
Benewah,Idaho,16009
Bingham,Idaho,16011
Blaine,Idaho,16013
Boise,Idaho,16015
Bonner,Idaho,16017
Bonneville,Idaho,16019
Boundary,Idaho,16021
Butte,Idaho,16023
Camas,Idaho,16025
Canyon,Idaho,16027
Caribou,Idaho,16029
Cassia,Idaho,16031
Clark,Idaho,16033
Clearwater,Idaho,16035
Custer,Idaho,16037
Elmore,Idaho,16039
Franklin,Idaho,16041
Fremont,Idaho,16043
Gem,Idaho,16045
Gooding,Idaho,16047
Idaho,Idaho,16049
Jefferson,Idaho,16051
Jerome,Idaho,16053
Kootenai,Idaho,16055
Latah,Idaho,16057
Lemhi,Idaho,16059
Lewis,Idaho,16061
Lincoln,Idaho,16063
Madison,Idaho,16065
Minidoka,Idaho,16067
Nez Perce,Idaho,16069
Oneida,Idaho,16071
Owyhee,Idaho,16073
Payette,Idaho,16075
Power,Idaho,16077
Shoshone,Idaho,16079
Teton,Idaho,16081
Twin Falls,Idaho,16083
Valley,Idaho,16085
Washington,Idaho,16087
Adams,Illinois,17001
Alexander,Illinois,17003
Bond,Illinois,17005
Boone,Illinois,17007
Brown,Illinois,17009
Bureau,Illinois,17011
Calhoun,Illinois,17013
Carroll,Illinois,17015
Cass,Illinois,17017
Champaign,Illinois,17019
Christian,Illinois,17021
Clark,Illinois,17023
Clay,Illinois,17025
Clinton,Illinois,17027
Coles,Illinois,17029
Cook,Illinois,17031
Crawford,Illinois,17033
Cumberland,Illinois,17035
De Witt,Illinois,17039
DeKalb,Illinois,17037
Douglas,Illinois,17041
DuPage,Illinois,17043
Edgar,Illinois,17045
Edwards,Illinois,17047
Effingham,Illinois,17049
Fayette,Illinois,17051
Ford,Illinois,17053
Franklin,Illinois,17055
Fulton,Illinois,17057
Gallatin,Illinois,17059
Greene,Illinois,17061
Grundy,Illinois,17063
Hamilton,Illinois,17065
Hancock,Illinois,17067
Hardin,Illinois,17069
Henderson,Illinois,17071
Henry,Illinois,17073
Iroquois,Illinois,17075
Jackson,Illinois,17077
Jasper,Illinois,17079
Jefferson,Illinois,17081
Jersey,Illinois,17083
Jo Daviess,Illinois,17085
Johnson,Illinois,17087
Kane,Illinois,17089
Kankakee,Illinois,17091
Kendall,Illinois,17093
Knox,Illinois,17095
LaSalle,Illinois,17099
Lake,Illinois,17097
Lawrence,Illinois,17101
Lee,Illinois,17103
Livingston,Illinois,17105
Logan,Illinois,17107
Macon,Illinois,17115
Macoupin,Illinois,17117
Madison,Illinois,17119
Marion,Illinois,17121
Marshall,Illinois,17123
Mason,Illinois,17125
Massac,Illinois,17127
McDonough,Illinois,17109
McHenry,Illinois,17111
McLean,Illinois,17113
Menard,Illinois,17129
Mercer,Illinois,17131
Monroe,Illinois,17133
Montgomery,Illinois,17135
Morgan,Illinois,17137
Moultrie,Illinois,17139
Ogle,Illinois,17141
Peoria,Illinois,17143
Perry,Illinois,17145
Piatt,Illinois,17147
Pike,Illinois,17149
Pope,Illinois,17151
Pulaski,Illinois,17153
Putnam,Illinois,17155
Randolph,Illinois,17157
Richland,Illinois,17159
Rock Island,Illinois,17161
Saline,Illinois,17165
Sangamon,Illinois,17167
Schuyler,Illinois,17169
Scott,Illinois,17171
Shelby,Illinois,17173
St. Clair,Illinois,17163
Stark,Illinois,17175
Stephenson,Illinois,17177
Tazewell,Illinois,17179
Union,Illinois,17181
Vermilion,Illinois,17183
Wabash,Illinois,17185
Warren,Illinois,17187
Washington,Illinois,17189
Wayne,Illinois,17191
White,Illinois,17193
Whiteside,Illinois,17195
Will,Illinois,17197
Williamson,Illinois,17199
Winnebago,Illinois,17201
Woodford,Illinois,17203
Adams,Indiana,18001
Allen,Indiana,18003
Bartholomew,Indiana,18005
Benton,Indiana,18007
Blackford,Indiana,18009
Boone,Indiana,18011
Brown,Indiana,18013
Carroll,Indiana,18015
Cass,Indiana,18017
Clark,Indiana,18019
Clay,Indiana,18021
Clinton,Indiana,18023
Crawford,Indiana,18025
Daviess,Indiana,18027
DeKalb,Indiana,18033
Dearborn,Indiana,18029
Decatur,Indiana,18031
Delaware,Indiana,18035
Dubois,Indiana,18037
Elkhart,Indiana,18039
Fayette,Indiana,18041
Floyd,Indiana,18043
Fountain,Indiana,18045
Franklin,Indiana,18047
Fulton,Indiana,18049
Gibson,Indiana,18051
Grant,Indiana,18053
Greene,Indiana,18055
Hamilton,Indiana,18057
Hancock,Indiana,18059
Harrison,Indiana,18061
Hendricks,Indiana,18063
Henry,Indiana,18065
Howard,Indiana,18067
Huntington,Indiana,18069
Jackson,Indiana,18071
Jasper,Indiana,18073
Jay,Indiana,18075
Jefferson,Indiana,18077
Jennings,Indiana,18079
Johnson,Indiana,18081
Knox,Indiana,18083
Kosciusko,Indiana,18085
LaGrange,Indiana,18087
LaPorte,Indiana,18091
Lake,Indiana,18089
Lawrence,Indiana,18093
Madison,Indiana,18095
Marion,Indiana,18097
Marshall,Indiana,18099
Martin,Indiana,18101
Miami,Indiana,18103
Monroe,Indiana,18105
Montgomery,Indiana,18107
Morgan,Indiana,18109
Newton,Indiana,18111
Noble,Indiana,18113
Ohio,Indiana,18115
Orange,Indiana,18117
Owen,Indiana,18119
Parke,Indiana,18121
Perry,Indiana,18123
Pike,Indiana,18125
Porter,Indiana,18127
Posey,Indiana,18129
Pulaski,Indiana,18131
Putnam,Indiana,18133
Randolph,Indiana,18135
Ripley,Indiana,18137
Rush,Indiana,18139
Scott,Indiana,18143
Shelby,Indiana,18145
Spencer,Indiana,18147
St. Joseph,Indiana,18141
Starke,Indiana,18149
Steuben,Indiana,18151
Sullivan,Indiana,18153
Switzerland,Indiana,18155
Tippecanoe,Indiana,18157
Tipton,Indiana,18159
Union,Indiana,18161
Vanderburgh,Indiana,18163
Vermillion,Indiana,18165
Vigo,Indiana,18167
Wabash,Indiana,18169
Warren,Indiana,18171
Warrick,Indiana,18173
Washington,Indiana,18175
Wayne,Indiana,18177
Wells,Indiana,18179
White,Indiana,18181
Whitley,Indiana,18183
Adair,Iowa,19001
Adams,Iowa,19003
Allamakee,Iowa,19005
Appanoose,Iowa,19007
Audubon,Iowa,19009
Benton,Iowa,19011
Black Hawk,Iowa,19013
Boone,Iowa,19015
Bremer,Iowa,19017
Buchanan,Iowa,19019
Buena Vista,Iowa,19021
Butler,Iowa,19023
Calhoun,Iowa,19025
Carroll,Iowa,19027
Cass,Iowa,19029
Cedar,Iowa,19031
Cerro Gordo,Iowa,19033
Cherokee,Iowa,19035
Chickasaw,Iowa,19037
Clarke,Iowa,19039
Clay,Iowa,19041
Clayton,Iowa,19043
Clinton,Iowa,19045
Crawford,Iowa,19047
Dallas,Iowa,19049
Davis,Iowa,19051
Decatur,Iowa,19053
Delaware,Iowa,19055
Des Moines,Iowa,19057
Dickinson,Iowa,19059
Dubuque,Iowa,19061
Emmet,Iowa,19063
Fayette,Iowa,19065
Floyd,Iowa,19067
Franklin,Iowa,19069
Fremont,Iowa,19071
Greene,Iowa,19073
Grundy,Iowa,19075
Guthrie,Iowa,19077
Hamilton,Iowa,19079
Hancock,Iowa,19081
Hardin,Iowa,19083
Harrison,Iowa,19085
Henry,Iowa,19087
Howard,Iowa,19089
Humboldt,Iowa,19091
Ida,Iowa,19093
Iowa,Iowa,19095
Jackson,Iowa,19097
Jasper,Iowa,19099
Jefferson,Iowa,19101
Johnson,Iowa,19103
Jones,Iowa,19105
Keokuk,Iowa,19107
Kossuth,Iowa,19109
Lee,Iowa,19111
Linn,Iowa,19113
Louisa,Iowa,19115
