date,county,state,fips,cases,deaths,cured
2020-03-01,New York City,New York,0,1,0,1
2020-03-02,New York City,New York,0,1,0,1
2020-03-03,New York City,New York,0,2,0,2
2020-03-04,New York City,New York,0,2,0,2
2020-03-05,New York City,New York,0,4,0,4
2020-03-06,New York City,New York,0,5,0,5
2020-03-07,New York City,New York,0,12,0,12
2020-03-08,New York City,New York,0,14,0,14
2020-03-09,New York City,New York,0,20,0,20
2020-03-10,New York City,New York,0,37,0,37
2020-03-11,New York City,New York,0,52,0,52
2020-03-12,New York City,New York,0,96,0,96
2020-03-13,New York City,New York,0,155,0,155
2020-03-14,New York City,New York,0,269,1,268
2020-03-15,New York City,New York,0,330,5,325
2020-03-16,New York City,New York,0,464,7,457
2020-03-17,New York City,New York,0,646,11,635
2020-03-18,New York City,New York,0,1344,25,1319
2020-03-19,New York City,New York,0,2477,31,2446
2020-03-20,New York City,New York,0,4419,54,4365
2020-03-21,New York City,New York,0,6226,75,6151
2020-03-22,New York City,New York,0,9065,119,8946
2020-03-23,New York City,New York,0,12329,155,12174
2020-03-24,New York City,New York,0,14943,230,14713
2020-03-25,New York City,New York,0,20061,330,19731
2020-03-26,New York City,New York,0,23182,435,22747
2020-03-27,New York City,New York,0,25509,560,24949
2020-03-28,New York City,New York,0,30919,825,30094
2020-03-29,New York City,New York,0,33983,991,32992
2020-03-30,New York City,New York,0,38375,1202,37173
2020-03-31,New York City,New York,0,43518,1475,42043
2020-04-01,New York City,New York,0,47914,1848,46066
2020-04-02,New York City,New York,0,52400,2152,50248
2020-04-03,New York City,New York,0,57941,2648,55293
2020-04-04,New York City,New York,0,64274,3221,61053
2020-04-05,New York City,New York,0,68726,3646,65080
2020-04-06,New York City,New York,0,73553,4857,68696
2020-04-07,New York City,New York,0,78498,5631,72867
2020-04-08,New York City,New York,0,83673,6441,77232
2020-04-09,New York City,New York,0,89127,7249,81878
2020-04-10,New York City,New York,0,94702,7981,86721
2020-04-11,New York City,New York,0,100840,8734,92106
2020-04-12,New York City,New York,0,105939,9448,96491
2020-04-13,New York City,New York,0,109706,10096,99610
2020-04-14,New York City,New York,0,113632,10857,102775
2020-04-15,New York City,New York,0,121653,11566,110087
2020-04-16,New York City,New York,0,126623,12109,114514
2020-04-17,New York City,New York,0,131003,12283,118720
2020-04-18,New York City,New York,0,135052,12411,122641
2020-04-19,New York City,New York,0,138370,13632,124738
2020-04-20,New York City,New York,0,140881,14074,126807
2020-04-21,New York City,New York,0,143547,14513,129034
2020-04-22,New York City,New York,0,146787,14959,131828
2020-04-23,New York City,New York,0,150327,15361,134966
2020-04-24,New York City,New York,0,155081,15754,139327
2020-04-25,New York City,New York,0,159851,16146,143705
2020-04-26,New York City,New York,0,163106,16486,146620
2020-04-27,New York City,New York,0,165463,16821,148642
2020-04-28,New York City,New York,0,167487,17206,150281
2020-04-29,New York City,New York,0,170124,17597,152527
2020-04-30,New York City,New York,0,172784,17809,154975
2020-05-01,New York City,New York,0,174931,17931,157000
2020-05-02,New York City,New York,0,177490,18021,159469
2020-05-03,New York City,New York,0,179728,18451,161277
2020-05-04,New York City,New York,0,181034,18580,162454
2020-05-05,New York City,New York,0,182318,18719,163599
2020-05-06,New York City,New York,0,183770,18993,164777
2020-05-07,New York City,New York,0,185653,19141,166512
2020-05-08,New York City,New York,0,187157,19210,167947
2020-05-09,New York City,New York,0,188663,19324,169339
2020-05-10,New York City,New York,0,189656,19436,170220
2020-05-11,New York City,New York,0,190546,19563,170983
2020-05-12,New York City,New York,0,191320,19736,171584
2020-05-13,New York City,New York,0,192394,19815,172579
2020-05-14,New York City,New York,0,193663,19904,173759
2020-05-15,New York City,New York,0,195472,19972,175500
2020-05-16,New York City,New York,0,196481,20071,176410
2020-05-17,New York City,New York,0,197486,20214,177272
2020-05-18,New York City,New York,0,198114,20298,177816
2020-05-19,New York City,New York,0,198710,20376,178334
2020-05-20,New York City,New York,0,199392,20422,178970
2020-05-21,New York City,New York,0,200507,20491,180016
2020-05-22,New York City,New York,0,201298,20569,180729
2020-05-23,New York City,New York,0,202062,20621,181441
2020-05-24,New York City,New York,0,202931,20697,182234
2020-05-25,New York City,New York,0,203569,20740,182829
2020-05-26,New York City,New York,0,204111,20795,183316
2020-05-27,New York City,New York,0,204781,20844,183937
2020-05-28,New York City,New York,0,205854,20895,184959
2020-05-29,New York City,New York,0,206800,20960,185840
2020-05-30,New York City,New York,0,207539,20991,186548
2020-05-31,New York City,New York,0,208085,21050,187035
2020-06-01,New York City,New York,0,208550,21090,187460
2020-06-02,New York City,New York,0,209195,21132,188063
2020-06-03,New York City,New York,0,209688,21170,188518
2020-06-04,New York City,New York,0,210227,21234,188993
2020-06-05,New York City,New York,0,210728,21262,189466
2020-06-06,New York City,New York,0,211274,21294,189980
2020-06-07,New York City,New York,0,211728,21323,190405
2020-06-08,New York City,New York,0,212122,21356,190766
2020-06-09,New York City,New York,0,212469,21396,191073
2020-06-10,New York City,New York,0,212884,21436,191448
2020-06-11,New York City,New York,0,213271,21468,191803
2020-06-12,New York City,New York,0,213707,21519,192188
2020-06-13,New York City,New York,0,214242,21551,192691
2020-06-14,New York City,New York,0,214627,21578,193049
2020-06-15,New York City,New York,0,215011,21600,193411
2020-06-16,New York City,New York,0,215342,21619,193723
2020-06-17,New York City,New York,0,215686,21645,194041
2020-06-18,New York City,New York,0,216013,21673,194340
2020-06-19,New York City,New York,0,216421,21710,194711
2020-06-20,New York City,New York,0,216803,21719,195084
2020-06-21,New York City,New York,0,217189,21753,195436
2020-06-22,New York City,New York,0,217487,21796,195691
2020-06-23,New York City,New York,0,217803,21817,195986
2020-06-24,New York City,New York,0,218089,21838,196251
2020-06-25,New York City,New York,0,218429,21856,196573
2020-06-26,New York City,New York,0,218799,21893,196906
2020-06-27,New York City,New York,0,219157,21913,197244
2020-06-28,New York City,New York,0,219481,21940,197541
2020-06-29,New York City,New York,0,219670,21941,197729
2020-06-30,New York City,New York,0,219844,22566,197278
2020-07-01,New York City,New York,0,220143,22574,197569
2020-07-02,New York City,New York,0,220567,22593,197974
2020-07-03,New York City,New York,0,221028,22610,198418
2020-07-04,New York City,New York,0,221395,22630,198765
2020-07-05,New York City,New York,0,221637,22661,198976
2020-07-06,New York City,New York,0,221882,22672,199210
2020-07-07,New York City,New York,0,222156,22690,199466
2020-07-08,New York City,New York,0,222444,22696,199748
2020-07-09,New York City,New York,0,222723,22719,200004
2020-07-10,New York City,New York,0,223078,22739,200339
2020-07-11,New York City,New York,0,223382,22750,200632
2020-07-12,New York City,New York,0,223725,22755,200970
2020-07-13,New York City,New York,0,223977,22795,201182
2020-07-14,New York City,New York,0,224293,22808,201485
2020-07-15,New York City,New York,0,224662,22825,201837
2020-07-16,New York City,New York,0,225045,22842,202203
2020-07-17,New York City,New York,0,225414,22848,202566
2020-07-18,New York City,New York,0,225799,22859,202940
2020-07-19,New York City,New York,0,226104,22872,203232
2020-07-20,New York City,New York,0,226388,22882,203506
2020-07-21,New York City,New York,0,226779,22895,203884
2020-07-22,New York City,New York,0,227130,22899,204231
2020-07-23,New York City,New York,0,227517,22934,204583
2020-07-24,New York City,New York,0,227882,22936,204946
2020-07-25,New York City,New York,0,228220,22947,205273
2020-07-26,New York City,New York,0,228445,22956,205489
2020-07-27,New York City,New York,0,228740,22970,205770
2020-07-28,New York City,New York,0,228939,22977,205962
2020-07-29,New York City,New York,0,229237,22982,206255
2020-07-30,New York City,New York,0,229551,22996,206555
2020-07-31,New York City,New York,0,229834,23002,206832
2020-08-01,New York City,New York,0,230147,23007,207140
2020-08-02,New York City,New York,0,230410,23012,207398
2020-08-03,New York City,New York,0,230648,23021,207627
2020-08-04,New York City,New York,0,230964,23027,207937
2020-08-05,New York City,New York,0,231268,23034,208234
2020-08-06,New York City,New York,0,231600,23563,208037
2020-08-07,New York City,New York,0,231942,23567,208375
2020-08-08,New York City,New York,0,232271,23575,208696
2020-08-09,New York City,New York,0,232517,23580,208937
2020-08-10,New York City,New York,0,232756,23586,209170
2020-08-11,New York City,New York,0,233030,23592,209438
2020-08-12,New York City,New York,0,233422,23602,209820
2020-08-13,New York City,New York,0,233859,23610,210249
2020-08-14,New York City,New York,0,234223,23615,210608
2020-08-15,New York City,New York,0,234609,23621,210988
2020-08-16,New York City,New York,0,234918,23628,211290
2020-08-17,New York City,New York,0,235155,23634,211521
2020-08-18,New York City,New York,0,235446,23642,211804
2020-08-19,New York City,New York,0,235714,23643,212071
2020-08-20,New York City,New York,0,235985,23639,212346
2020-08-21,New York City,New York,0,236269,23641,212628
2020-08-22,New York City,New York,0,236534,23646,212888
2020-08-23,New York City,New York,0,236822,23658,213164
2020-08-24,New York City,New York,0,237032,23662,213370
2020-08-25,New York City,New York,0,237263,23666,213597
2020-08-26,New York City,New York,0,237525,23669,213856
2020-08-27,New York City,New York,0,237838,23674,214164
2020-08-28,New York City,New York,0,238107,23680,214427
2020-08-29,New York City,New York,0,238385,23683,214702
2020-08-30,New York City,New York,0,238677,23689,214988
2020-08-31,New York City,New York,0,238938,23695,215243
2020-09-01,New York City,New York,0,239246,23703,215543
2020-09-02,New York City,New York,0,239512,23708,215804
2020-09-03,New York City,New York,0,239815,23710,216105
2020-09-04,New York City,New York,0,240139,23716,216423
2020-09-05,New York City,New York,0,240416,23721,216695
2020-09-06,New York City,New York,0,240711,23721,216990
2020-09-07,New York City,New York,0,240919,23736,217183
2020-09-08,New York City,New York,0,241141,23744,217397
2020-09-09,New York City,New York,0,241351,23741,217610
2020-09-10,New York City,New York,0,241686,23741,217945
2020-09-11,New York City,New York,0,241936,23739,218197
2020-09-12,New York City,New York,0,242242,23743,218499
2020-09-13,New York City,New York,0,242486,23743,218743
2020-09-14,New York City,New York,0,242754,23750,219004
2020-09-15,New York City,New York,0,243061,23758,219303
2020-09-16,New York City,New York,0,243314,23762,219552
2020-09-17,New York City,New York,0,243644,23767,219877
2020-09-18,New York City,New York,0,243995,23775,220220
2020-09-19,New York City,New York,0,244484,23771,220713
2020-09-20,New York City,New York,0,244885,23777,221108
2020-09-21,New York City,New York,0,245147,23782,221365
2020-09-22,New York City,New York,0,245495,23780,221715
2020-09-23,New York City,New York,0,245776,23780,221996
2020-09-24,New York City,New York,0,246198,23785,222413
2020-09-25,New York City,New York,0,246570,23792,222778
2020-09-26,New York City,New York,0,247000,23795,223205
2020-09-27,New York City,New York,0,247384,23801,223583
2020-09-28,New York City,New York,0,247765,23810,223955
2020-09-29,New York City,New York,0,248287,23814,224473
2020-09-30,New York City,New York,0,248738,23823,224915
2020-10-01,New York City,New York,0,249272,23829,225443
2020-10-02,New York City,New York,0,249874,23846,226028
2020-10-03,New York City,New York,0,250583,23844,226739
2020-10-04,New York City,New York,0,251119,23852,227267
2020-10-05,New York City,New York,0,251591,23861,227730
2020-10-06,New York City,New York,0,252159,23866,228293
2020-10-07,New York City,New York,0,252703,23873,228830
2020-10-08,New York City,New York,0,253398,23874,229524
2020-10-09,New York City,New York,0,254023,23879,230144
2020-10-10,New York City,New York,0,254599,23882,230717
2020-10-11,New York City,New York,0,255068,23883,231185
2020-10-12,New York City,New York,0,255464,23890,231574
2020-10-13,New York City,New York,0,256007,23895,232112
2020-10-14,New York City,New York,0,256474,23905,232569
2020-10-15,New York City,New York,0,256986,23915,233071
2020-10-16,New York City,New York,0,257642,23915,233727
2020-10-17,New York City,New York,0,258452,23925,234527
2020-10-18,New York City,New York,0,259064,23935,235129
2020-10-19,New York City,New York,0,259484,23944,235540
2020-10-20,New York City,New York,0,259920,23944,235976
2020-10-21,New York City,New York,0,260762,23949,236813
2020-10-22,New York City,New York,0,261293,23955,237338
2020-10-23,New York City,New York,0,261863,23963,237900
2020-10-24,New York City,New York,0,262615,23963,238652
2020-10-25,New York City,New York,0,263269,23967,239302
2020-10-26,New York City,New York,0,263694,23969,239725
2020-10-27,New York City,New York,0,264428,23978,240450
2020-10-28,New York City,New York,0,265263,23980,241283
2020-10-29,New York City,New York,0,266321,23989,242332
2020-10-30,New York City,New York,0,267227,23996,243231
2020-10-31,New York City,New York,0,267929,24001,243928
2020-11-01,New York City,New York,0,268879,24013,244866
2020-11-02,New York City,New York,0,269519,24017,245502
2020-11-03,New York City,New York,0,270317,24021,246296
2020-11-04,New York City,New York,0,271112,24034,247078
2020-11-05,New York City,New York,0,272184,24047,248137
2020-11-06,New York City,New York,0,273386,24054,249332
2020-11-07,New York City,New York,0,274551,24060,250491
2020-11-08,New York City,New York,0,275944,24074,251870
2020-11-09,New York City,New York,0,277105,24085,253020
2020-11-10,New York City,New York,0,278312,24087,254225
2020-11-11,New York City,New York,0,280044,24096,255948
2020-11-12,New York City,New York,0,281707,24099,257608
2020-11-13,New York City,New York,0,283533,24108,259425
2020-11-14,New York City,New York,0,285333,24118,261215
2020-11-15,New York City,New York,0,286785,24124,262661
2020-11-16,New York City,New York,0,288078,24136,263942
2020-11-17,New York City,New York,0,290018,24146,265872
2020-11-18,New York City,New York,0,291753,24149,267604
2020-11-19,New York City,New York,0,293592,24167,269425
2020-11-20,New York City,New York,0,295622,24188,271434
2020-11-21,New York City,New York,0,297570,24202,273368
2020-11-22,New York City,New York,0,299495,24206,275289
2020-11-23,New York City,New York,0,301282,24218,277064
2020-11-24,New York City,New York,0,303007,24220,278787
2020-11-25,New York City,New York,0,304925,24230,280695
2020-11-26,New York City,New York,0,307261,24241,283020
2020-11-27,New York City,New York,0,309822,24255,285567
2020-11-28,New York City,New York,0,311920,24260,287660
2020-11-29,New York City,New York,0,314223,24268,289955
2020-11-30,New York City,New York,0,316724,24274,292450
2020-12-01,New York City,New York,0,319301,24287,295014
2020-12-02,New York City,New York,0,322501,24297,298204
2020-12-03,New York City,New York,0,325806,24305,301501
2020-12-04,New York City,New York,0,329406,24323,305083
2020-12-05,New York City,New York,0,332633,24346,308287
2020-12-06,New York City,New York,0,335768,24365,311403
2020-12-07,New York City,New York,0,339610,24387,315223
2020-12-08,New York City,New York,0,342755,24416,318339
2020-12-09,New York City,New York,0,346834,24411,322423
2020-12-10,New York City,New York,0,350283,24421,325862
2020-12-11,New York City,New York,0,353596,24450,329146
2020-12-12,New York City,New York,0,357489,24467,333022
2020-12-13,New York City,New York,0,360700,24501,336199
2020-12-14,New York City,New York,0,363669,24526,339143
2020-12-15,New York City,New York,0,367198,24561,342637
2020-12-16,New York City,New York,0,370109,24578,345531
2020-12-17,New York City,New York,0,373320,24613,348707
2020-12-18,New York City,New York,0,377728,24652,353076
2020-12-19,New York City,New York,0,381067,24677,356390
2020-12-20,New York City,New York,0,383808,24697,359111
2020-12-21,New York City,New York,0,387595,24735,362860
2020-12-22,New York City,New York,0,391634,24768,366866
2020-12-23,New York City,New York,0,395810,24790,371020
2020-12-24,New York City,New York,0,401251,24842,376409
2020-12-25,New York City,New York,0,405857,24889,380968
2020-12-26,New York City,New York,0,410048,24931,385117
2020-12-27,New York City,New York,0,413472,24973,388499
2020-12-28,New York City,New York,0,416922,25008,391914
2020-12-29,New York City,New York,0,422074,25055,397019
2020-12-30,New York City,New York,0,426279,25099,401180
2020-12-31,New York City,New York,0,430863,25144,405719
2021-01-01,New York City,New York,0,436692,25186,411506
2021-01-02,New York City,New York,0,442695,25211,417484
2021-01-03,New York City,New York,0,446899,25244,421655
2021-01-04,New York City,New York,0,450658,25284,425374
2021-01-05,New York City,New York,0,455997,25309,430688
2021-01-06,New York City,New York,0,460988,25362,435626
2021-01-07,New York City,New York,0,467327,25416,441911
2021-01-08,New York City,New York,0,474339,25453,448886
2021-01-09,New York City,New York,0,481279,25505,455774
2021-01-10,New York City,New York,0,487551,25562,461989
2021-01-11,New York City,New York,0,493306,25635,467671
2021-01-12,New York City,New York,0,498877,25698,473179
2021-01-13,New York City,New York,0,504826,25741,479085
2021-01-14,New York City,New York,0,510711,25834,484877
2021-01-15,New York City,New York,0,517963,25909,492054
2021-01-16,New York City,New York,0,524231,25970,498261
2021-01-17,New York City,New York,0,529834,26036,503798
2021-01-18,New York City,New York,0,536287,26104,510183
2021-01-19,New York City,New York,0,541846,26161,515685
2021-01-20,New York City,New York,0,546195,26249,519946
2021-01-21,New York City,New York,0,551415,26331,525084
2021-01-22,New York City,New York,0,558262,26398,531864
2021-01-23,New York City,New York,0,564245,26466,537779
2021-01-24,New York City,New York,0,569668,26558,543110
2021-01-25,New York City,New York,0,575332,26648,548684
2021-01-26,New York City,New York,0,580389,26720,553669
2021-01-27,New York City,New York,0,584673,26763,557910
2021-01-28,New York City,New York,0,591160,26856,564304
2021-01-29,New York City,New York,0,597312,26953,570359
2021-01-30,New York City,New York,0,603428,27042,576386
2021-01-31,New York City,New York,0,608862,27138,581724
2021-02-01,New York City,New York,0,613480,27226,586254
2021-02-02,New York City,New York,0,617406,27298,590108
2021-02-03,New York City,New York,0,621218,27354,593864
2021-02-04,New York City,New York,0,623713,27428,596285
2021-02-05,New York City,New York,0,626716,27506,599210
2021-02-06,New York City,New York,0,632306,27609,604697
2021-02-07,New York City,New York,0,637486,27705,609781
2021-02-08,New York City,New York,0,642557,27768,614789
2021-02-09,New York City,New York,0,647322,27856,619466
2021-02-10,New York City,New York,0,650123,27949,622174
2021-02-11,New York City,New York,0,655228,28021,627207
2021-02-12,New York City,New York,0,659734,28094,631640
2021-02-13,New York City,New York,0,664307,28193,636114
2021-02-14,New York City,New York,0,668443,28270,640173
2021-02-15,New York City,New York,0,672071,28341,643730
2021-02-16,New York City,New York,0,675727,28428,647299
2021-02-17,New York City,New York,0,678638,28493,650145
2021-02-18,New York City,New York,0,684864,28590,656274
2021-02-19,New York City,New York,0,689599,28686,660913
2021-02-20,New York City,New York,0,694295,28748,665547
2021-02-21,New York City,New York,0,697306,28824,668482
2021-02-22,New York City,New York,0,700815,28888,671927
2021-02-23,New York City,New York,0,704616,28954,675662
2021-02-24,New York City,New York,0,707929,29025,678904
2021-02-25,New York City,New York,0,712389,29088,683301
2021-02-26,New York City,New York,0,716678,29173,687505
2021-02-27,New York City,New York,0,720951,29253,691698
2021-02-28,New York City,New York,0,725155,29332,695823
2021-03-01,New York City,New York,0,728859,29408,699451
2021-03-02,New York City,New York,0,732557,29473,703084
2021-03-03,New York City,New York,0,735732,29564,706168
2021-03-04,New York City,New York,0,739632,29640,709992
2021-03-05,New York City,New York,0,743683,29700,713983
2021-03-06,New York City,New York,0,748241,29760,718481
2021-03-07,New York City,New York,0,752617,29823,722794
2021-03-08,New York City,New York,0,755495,29866,725629
2021-03-09,New York City,New York,0,759421,29911,729510
2021-03-10,New York City,New York,0,762458,29983,732475
2021-03-11,New York City,New York,0,766428,30068,736360
2021-03-12,New York City,New York,0,770654,30116,740538
2021-03-13,New York City,New York,0,773540,30174,743366
2021-03-14,New York City,New York,0,777418,30258,747160
2021-03-15,New York City,New York,0,781734,30303,751431
2021-03-16,New York City,New York,0,785307,30366,754941
2021-03-17,New York City,New York,0,788302,30406,757896
2021-03-18,New York City,New York,0,790069,30471,759598
2021-03-19,New York City,New York,0,791453,30519,760934
2021-03-20,New York City,New York,0,794261,30564,763697
2021-03-21,New York City,New York,0,794261,30564,763697
2021-03-22,New York City,New York,0,796373,30564,765809
2021-03-23,New York City,New York,0,799865,30564,769301
2021-03-24,New York City,New York,0,816580,30793,785787
2021-03-25,New York City,New York,0,821215,30852,790363
2021-03-26,New York City,New York,0,825104,30898,794206
2021-03-27,New York City,New York,0,829539,30949,798590
2021-03-28,New York City,New York,0,834198,31026,803172
2021-03-29,New York City,New York,0,839533,31117,808416
2021-03-30,New York City,New York,0,841913,31142,810771
2021-03-31,New York City,New York,0,845399,31209,814190
2021-04-01,New York City,New York,0,850006,31262,818744
2021-04-02,New York City,New York,0,854068,31316,822752
2021-04-03,New York City,New York,0,857653,31388,826265
2021-04-04,New York City,New York,0,861481,31449,830032
2021-04-05,New York City,New York,0,864732,31500,833232
2021-04-06,New York City,New York,0,867989,31531,836458
2021-04-07,New York City,New York,0,870693,31598,839095
2021-04-08,New York City,New York,0,874871,31641,843230
2021-04-09,New York City,New York,0,878783,31694,847089
2021-04-10,New York City,New York,0,882324,31731,850593
2021-04-11,New York City,New York,0,885387,31792,853595
2021-04-12,New York City,New York,0,888395,31853,856542
2021-04-13,New York City,New York,0,890720,31887,858833
2021-04-14,New York City,New York,0,893422,31957,861465
2021-04-15,New York City,New York,0,896256,32006,864250
2021-04-16,New York City,New York,0,899417,32040,867377
2021-04-17,New York City,New York,0,901610,32085,869525
2021-04-18,New York City,New York,0,904199,32114,872085
2021-04-19,New York City,New York,0,907141,32140,875001
2021-04-20,New York City,New York,0,909652,32178,877474
2021-04-21,New York City,New York,0,911566,32200,879366
2021-04-22,New York City,New York,0,914045,32253,881792
2021-04-23,New York City,New York,0,916125,32295,883830
2021-04-24,New York City,New York,0,917996,32344,885652
2021-04-25,New York City,New York,0,919884,32375,887509
2021-04-26,New York City,New York,0,921206,32392,888814
2021-04-27,New York City,New York,0,923036,32456,890580
2021-04-28,New York City,New York,0,924187,32461,891726
2021-04-29,New York City,New York,0,925581,32513,893068
2021-04-30,New York City,New York,0,927141,32545,894596
2021-05-01,New York City,New York,0,928840,32596,896244
2021-05-02,New York City,New York,0,930132,32626,897506
2021-05-03,New York City,New York,0,931288,32662,898626
2021-05-04,New York City,New York,0,932181,32698,899483
2021-05-05,New York City,New York,0,933197,32735,900462
2021-05-06,New York City,New York,0,934286,32760,901526
2021-05-07,New York City,New York,0,935271,32786,902485
2021-05-08,New York City,New York,0,936360,32810,903550
2021-05-09,New York City,New York,0,937338,32836,904502
2021-05-10,New York City,New York,0,938087,32864,905223
2021-05-11,New York City,New York,0,938577,32887,905690
2021-05-12,New York City,New York,0,939478,32934,906544
2021-05-13,New York City,New York,0,940321,32966,907355
2021-05-14,New York City,New York,0,941094,32991,908103
2021-05-15,New York City,New York,0,941485,32991,908494
2021-05-16,New York City,New York,0,942440,33016,909424
2021-05-17,New York City,New York,0,943021,33043,909978
2021-05-18,New York City,New York,0,943942,33065,910877
2021-05-19,New York City,New York,0,944306,33078,911228
2021-05-20,New York City,New York,0,944940,33090,911850
2021-05-21,New York City,New York,0,945568,33107,912461
2021-05-22,New York City,New York,0,946029,33110,912919
2021-05-23,New York City,New York,0,946469,33125,913344
2021-05-24,New York City,New York,0,946844,33146,913698
2021-05-25,New York City,New York,0,947310,33156,914154
2021-05-26,New York City,New York,0,947602,33169,914433
2021-05-27,New York City,New York,0,948116,33184,914932
2021-05-28,New York City,New York,0,948499,33199,915300
2021-05-29,New York City,New York,0,948833,33207,915626
2021-05-30,New York City,New York,0,949153,33213,915940
2021-05-31,New York City,New York,0,949390,33222,916168
2021-06-01,New York City,New York,0,949653,33240,916413
2021-06-02,New York City,New York,0,949793,33245,916548
2021-06-03,New York City,New York,0,949986,33257,916729
2021-06-04,New York City,New York,0,950314,33277,917037
2021-06-05,New York City,New York,0,950676,33280,917396
2021-06-06,New York City,New York,0,950858,33302,917556
2021-06-07,New York City,New York,0,951084,33307,917777
2021-06-08,New York City,New York,0,951322,33309,918013
2021-06-09,New York City,New York,0,951532,33313,918219
2021-06-10,New York City,New York,0,951817,33322,918495
2021-06-11,New York City,New York,0,952238,33331,918907
2021-06-12,New York City,New York,0,952396,33339,919057
2021-06-13,New York City,New York,0,952559,33344,919215
2021-06-14,New York City,New York,0,952772,33348,919424
2021-06-15,New York City,New York,0,952963,33359,919604
2021-06-16,New York City,New York,0,953079,33358,919721
2021-06-17,New York City,New York,0,953310,33370,919940
2021-06-18,New York City,New York,0,953551,33371,920180
2021-06-19,New York City,New York,0,953749,33374,920375
2021-06-20,New York City,New York,0,953928,33374,920554
2021-06-21,New York City,New York,0,954096,33378,920718
2021-06-22,New York City,New York,0,954235,33388,920847
2021-06-23,New York City,New York,0,954353,33390,920963
2021-06-24,New York City,New York,0,954567,33386,921181
2021-06-25,New York City,New York,0,954769,33391,921378
2021-06-26,New York City,New York,0,954954,33394,921560
2021-06-27,New York City,New York,0,955180,33406,921774
2021-06-28,New York City,New York,0,955367,33412,921955
2021-06-29,New York City,New York,0,955505,33415,922090
2021-06-30,New York City,New York,0,955649,33415,922234
